Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-15,136.3800048828125,332.35736083984375,368.9876708984375,488.8141174316406,136.3800048828125,332.7099914550781,369.6700134277344,488.8800048828125,136.83999633789062,338.3999938964844,373.1300048828125,499.6000061035156,135.3300018310547,330.0199890136719,367.1099853515625,482.0,136.63999938964844,337.92999267578125,371.2799987792969,499.3500061035156,15840900,14531200,26860100,47549700
2023-11-16,138.6999969482422,333.8357849121094,375.4756774902344,494.7332763671875,138.6999969482422,334.19000244140625,376.1700134277344,494.79998779296875,138.8800048828125,334.5799865722656,376.3500061035156,495.25,136.0800018310547,326.3800048828125,370.17999267578125,483.29998779296875,136.9600067138672,329.3699951171875,370.9599914550781,486.7900085449219,17615100,18932600,27182300,33975600
2023-11-17,136.94000244140625,334.6849060058594,369.1673278808594,492.9135437011719,136.94000244140625,335.0400085449219,369.8500061035156,492.9800109863281,138.0,335.5,374.3699951171875,497.1700134277344,135.47999572753906,329.3500061035156,367.0,490.07000732421875,137.82000732421875,330.260009765625,373.6099853515625,495.239990234375,25565300,14494400,40157000,32520500
2023-11-20,137.9199981689453,339.60968017578125,376.7433166503906,504.02203369140625,137.9199981689453,339.9700012207031,377.44000244140625,504.0899963378906,138.4250030517578,341.8699951171875,378.8699951171875,505.4800109863281,135.49000549316406,334.19000244140625,371.0,491.80999755859375,135.5,334.8900146484375,371.2200012207031,493.1199951171875,19569400,16960500,52465100,41412000
2023-11-21,138.6199951171875,336.62286376953125,372.3813781738281,499.3726501464844,138.6199951171875,336.9800109863281,373.07000732421875,499.44000244140625,138.96499633789062,339.8999938964844,376.2200012207031,505.1700134277344,137.7050018310547,335.8999938964844,371.1199951171875,492.2200012207031,137.94000244140625,338.3299865722656,375.6700134277344,501.260009765625,17648100,12027900,28423100,56574700
2023-11-22,140.02000427246094,341.1280517578125,377.1525573730469,487.0943298339844,140.02000427246094,341.489990234375,377.8500061035156,487.1600036621094,141.10000610351562,342.9200134277344,379.7900085449219,503.3500061035156,139.0,338.5799865722656,374.9700012207031,476.8999938964844,139.10000610351562,339.2099914550781,378.0,498.5199890136719,17306400,10702700,23345300,89942000
2023-11-24,138.22000122070312,337.87152099609375,376.7333068847656,477.69561767578125,138.22000122070312,338.2300109863281,377.42999267578125,477.760009765625,139.677001953125,341.8599853515625,377.9700012207031,489.2099914550781,137.47000122070312,336.7699890136719,375.1400146484375,477.45001220703125,139.5399932861328,340.1300048828125,377.3299865722656,484.70001220703125,8828600,5467500,10176600,29464500
2023-11-27,138.0500030517578,334.34527587890625,377.9111328125,482.3549499511719,138.0500030517578,334.70001220703125,378.6099853515625,482.4200134277344,139.6300048828125,339.8999938964844,380.6400146484375,485.29998779296875,137.5399932861328,334.20001220703125,376.20001220703125,476.5199890136719,137.57000732421875,336.17999267578125,376.7799987792969,478.0,17886400,15684500,22179200,39566200
2023-11-28,138.6199951171875,338.6307067871094,381.9936218261719,478.1455078125,138.6199951171875,338.989990234375,382.70001220703125,478.2099914550781,138.66000366210938,339.3800048828125,383.0,483.2300109863281,137.0399932861328,333.3999938964844,378.1600036621094,474.7300109863281,137.6300048828125,333.3999938964844,378.3500061035156,482.3599853515625,17046900,12637200,20453100,40149100
2023-11-29,136.39999389648438,331.8479309082031,378.15069580078125,481.3350830078125,136.39999389648438,332.20001220703125,378.8500061035156,481.3999938964844,139.6699981689453,339.8999938964844,384.29998779296875,487.6199951171875,136.2949981689453,330.7799987792969,377.44000244140625,478.6000061035156,138.98500061035156,339.69000244140625,383.760009765625,483.7900085449219,21014700,16024500,28963400,38200500
